Player_Name,Nation,Pos,Team,League,M_played,Starting_11,Minutes_Played,Goals,Assists,Goals_Assists,Goals_non_Penalty,Penalty_Goals,Yellow_Cards,Red_Cards
Kristoffer Ajer,NOR,DF,Brentford,eng_premier_league,15,14,1134,0,0,0,0,0,4,0
Ludovic Ajorque,FRA,FW,Brest,fr_ligue_1,22,20,1753,10,1,11,10,0,4,0
Manuel Akanji,SUI,DF,Manchester City,eng_premier_league,20,20,1707,0,0,0,0,0,3,0
Ümit Akdag,ROU,DF,Toulouse,fr_ligue_1,6,6,434,0,0,0,0,0,2,0
Nathan Aké,NED,DF,Manchester City,eng_premier_league,10,8,678,0,0,0,0,0,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,es_la_liga,11,7,584,1,0,1,1,0,1,0
Sergio Akieme,ESP,DF,Reims,fr_ligue_1,21,20,1758,1,1,2,1,0,4,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,fr_ligue_1,23,19,1697,3,6,9,3,0,2,0
Clément Akpa,CIV,DF,Auxerre,fr_ligue_1,23,21,1852,0,1,1,0,0,5,0
Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it_serie_a,4,3,228,0,0,0,0,0,2,0
David Akpan Ankeye,NGA,"FW,MF",Genoa,it_serie_a,4,0,45,0,0,0,0,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,de_bundesliga,24,17,1695,0,0,0,0,0,3,0
Chuba Akpom,ENG,FW,Lille,fr_ligue_1,5,3,287,2,0,2,2,0,0,0
David Alaba,AUT,DF,Real Madrid,es_la_liga,5,3,258,0,0,0,0,0,1,0
Andreas Albers,DEN,FW,St. Pauli,de_bundesliga,14,0,62,1,0,1,1,0,0,0
Raúl Albiol,ESP,DF,Villarreal,es_la_liga,15,14,1188,0,0,0,0,0,5,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,ARG,MF,Southampton,eng_premier_league,1,0,10,0,0,0,0,0,0,0
Carlos Alcaraz,ARG,"MF,FW",Everton,eng_premier_league,5,2,227,1,1,2,1,0,2,0
Omar Alderete,PAR,DF,Getafe,es_la_liga,24,24,2136,0,0,0,0,0,7,0
Carles Aleñá,ESP,"MF,FW",Getafe,es_la_liga,10,5,452,0,0,0,0,0,1,0
Carles Aleñá,ESP,"MF,FW",Alavés,es_la_liga,4,4,356,0,2,2,0,0,1,0
Trent Alexander-Arnold,ENG,DF,Liverpool,eng_premier_league,28,26,2145,2,6,8,2,0,4,0
Alfon,ESP,"FW,MF",Celta Vigo,es_la_liga,16,6,683,2,2,4,2,0,0,1
Mohamed Ali Cho,FRA,"FW,MF",Nice,fr_ligue_1,21,19,1425,3,4,7,3,0,2,0
Faride Alidou,GER,"FW,MF",Hellas Verona,it_serie_a,3,0,71,0,0,0,0,0,0,0
Alisson,BRA,GK,Liverpool,eng_premier_league,21,21,1878,0,0,0,0,0,0,0
Tadeo Allende,ARG,FW,Celta Vigo,es_la_liga,1,0,2,0,0,0,0,0,1,0
Jim Allevinah,GAB,FW,Angers,fr_ligue_1,20,19,1331,0,3,3,0,0,3,0
Thiago Almada,ARG,"MF,FW",Lyon,fr_ligue_1,7,2,275,0,2,2,0,0,1,0
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,es_la_liga,24,15,1327,0,1,1,0,0,1,0
Iker Almena,ESP,"FW,DF",Girona,es_la_liga,2,0,48,0,1,1,0,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,eng_premier_league,9,1,157,0,0,0,0,0,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,it_serie_a,25,7,924,1,1,2,1,0,4,0
Marcos Alonso,ESP,DF,Celta Vigo,es_la_liga,21,19,1800,1,0,1,0,1,8,1
Giorgio Altare,ITA,DF,Venezia,it_serie_a,12,8,753,0,0,0,0,0,2,0
Adrià Altimira,ESP,"DF,FW",Leganés,es_la_liga,15,12,1082,0,0,0,0,0,3,0
Sergi Altimira,ESP,MF,Betis,es_la_liga,23,16,1508,0,1,1,0,0,3,0
Edson Álvarez,MEX,MF,West Ham,eng_premier_league,23,18,1535,0,1,1,0,0,8,1
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es_la_liga,22,14,1387,4,2,6,4,0,5,0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,es_la_liga,27,21,1758,10,2,12,9,1,4,0
Yeray Álvarez,ESP,DF,Athletic Club,es_la_liga,16,15,1331,0,0,0,0,0,4,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Skelly Alvero,FRA,MF,Werder Bremen,de_bundesliga,12,1,236,0,0,0,0,0,1,0
Will Alves,ENG,FW,Leicester City,eng_premier_league,1,0,1,0,0,0,0,0,0,0
Selim Amallah,MAR,MF,Valladolid,es_la_liga,18,13,1047,3,1,4,2,1,5,0
Amath,SEN,"FW,DF",Valladolid,es_la_liga,9,5,316,0,1,1,0,0,1,0
Jordan Amavi,FRA,DF,Brest,fr_ligue_1,11,8,790,0,0,0,0,0,2,0
Aurele Amenda,SUI,DF,Eint Frankfurt,de_bundesliga,4,1,70,0,0,0,0,0,1,0
Kelvin Amian,FRA,DF,Nantes,fr_ligue_1,22,16,1568,1,0,1,1,0,4,0
Michael Amir Murillo,PAN,DF,Marseille,fr_ligue_1,23,20,1807,1,2,3,1,0,1,0
Nadiem Amiri,GER,MF,Mainz 05,de_bundesliga,22,22,1756,6,3,9,4,2,6,2
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,eng_premier_league,2,0,28,0,0,0,0,0,1,0
Mathis Amougou,FRA,MF,Chelsea,eng_premier_league,1,0,8,0,0,0,0,0,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,fr_ligue_1,17,9,859,0,0,0,0,0,2,0
Mohamed Amoura,ALG,FW,Wolfsburg,de_bundesliga,23,22,1886,10,8,18,8,2,4,0
Sofyan Amrabat,MAR,MF,Fiorentina,it_serie_a,2,2,180,0,0,0,0,0,0,0
Joachim Andersen,DEN,DF,Crystal Palace,eng_premier_league,1,1,90,0,0,0,0,0,1,0
Joachim Andersen,DEN,DF,Fulham,eng_premier_league,19,19,1683,0,0,0,0,0,4,1
Elliot Anderson,ENG,MF,Nott'ham Forest,eng_premier_league,27,23,1892,1,5,6,1,0,6,0
André,BRA,MF,Wolves,eng_premier_league,23,21,1657,0,0,0,0,0,4,0
Benjamin André,FRA,MF,Lille,fr_ligue_1,22,22,1972,0,1,1,0,0,10,0
Marcos André,BRA,FW,Valladolid,es_la_liga,19,14,1156,1,2,3,1,0,5,0
Robert Andrich,GER,MF,Leverkusen,de_bundesliga,17,15,1240,2,1,3,2,0,6,0
Angeliño,ESP,DF,Roma,it_serie_a,28,26,2277,2,1,3,2,0,1,0
Lorenzo Anghelè,ITA,FW,Juventus,it_serie_a,1,0,6,0,0,0,0,0,0,0
Faustino Anjorin,ENG,MF,Empoli,it_serie_a,17,13,983,0,3,3,0,0,2,0
Waldemar Anton,GER,DF,Dortmund,de_bundesliga,17,13,1140,0,2,2,0,0,3,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Leandro Antonetti,PUR,FW,Sevilla,es_la_liga,1,0,11,0,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,eng_premier_league,14,11,836,1,1,2,1,0,1,0
Antoniu,ESP,"MF,FW",Espanyol,es_la_liga,15,6,485,0,1,1,0,0,3,0
Antony,BRA,"DF,MF",Manchester Utd,eng_premier_league,8,0,141,0,0,0,0,0,0,0
Antony,BRA,FW,Betis,es_la_liga,6,6,501,2,2,4,2,0,1,1
Anuar,MAR,"FW,MF",Valladolid,es_la_liga,17,14,1212,2,0,2,2,0,5,0
Dennis Appiah,FRA,DF,Saint-Étienne,fr_ligue_1,22,16,1588,0,1,1,0,0,1,0
Aritz Arambarri,ESP,DF,Leganés,es_la_liga,2,2,177,0,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,es_la_liga,25,21,1807,8,0,8,5,3,8,0
Jon Aramburu,VEN,DF,Real Sociedad,es_la_liga,24,22,1828,0,1,1,0,0,7,0
Julian Araujo,MEX,DF,Bournemouth,eng_premier_league,8,5,355,0,0,0,0,0,1,0
Ronald Araújo,URU,DF,Barcelona,es_la_liga,4,4,231,1,1,2,1,0,1,0
Cameron Archer,ENG,FW,Southampton,eng_premier_league,25,11,1159,2,0,2,2,0,0,0
Carlens Arcus,HAI,DF,Angers,fr_ligue_1,21,19,1542,0,1,1,0,0,2,0
Alphonse Areola,FRA,GK,West Ham,eng_premier_league,17,16,1450,0,0,0,0,0,0,0
Adu Ares,ESP,FW,Athletic Club,es_la_liga,1,0,19,0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,es_la_liga,24,23,2031,0,2,2,0,0,5,0
David Argüelles,ESP,MF,Getafe,es_la_liga,1,0,7,0,0,0,0,0,0,0
Joe Aribo,NGA,"MF,DF",Southampton,eng_premier_league,27,18,1737,3,0,3,3,0,1,0
Adam Armstrong,ENG,"FW,MF",Southampton,eng_premier_league,20,15,1248,2,2,4,2,0,4,0
Harrison Armstrong,ENG,MF,Everton,eng_premier_league,3,0,48,0,0,0,0,0,1,0
José Arnaiz,ESP,"FW,MF",Osasuna,es_la_liga,8,0,54,0,0,0,0,0,0,0
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,fr_ligue_1,17,13,1137,4,2,6,4,0,2,0
Marko Arnautović,AUT,FW,Inter,it_serie_a,10,1,239,2,1,3,2,0,1,0
Maximilian Arnold,GER,MF,Wolfsburg,de_bundesliga,21,20,1791,2,4,6,2,0,7,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,de_bundesliga,19,3,643,2,0,2,1,1,5,1
Sergio Arribas,ESP,DF,Betis,es_la_liga,1,1,90,0,0,0,0,0,0,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,eng_premier_league,21,21,1890,0,0,0,0,0,3,0
Arthur,BRA,"DF,FW",Leverkusen,de_bundesliga,12,6,495,0,1,1,0,0,0,0
Takuma Asano,JPN,"FW,MF",Mallorca,es_la_liga,16,9,745,1,0,1,1,0,0,0
Raúl Asencio,ESP,DF,Real Madrid,es_la_liga,14,9,949,0,1,1,0,0,0,0
Marco Asensio,ESP,"MF,FW",Aston Villa,eng_premier_league,4,2,207,2,0,2,2,0,0,0
Marco Asensio,ESP,"FW,MF",Paris S-G,fr_ligue_1,12,8,618,2,4,6,2,0,0,0
Kristjan Asllani,ALB,MF,Inter,it_serie_a,15,6,603,0,2,2,0,0,3,0
Iago Aspas,ESP,"FW,MF",Celta Vigo,es_la_liga,20,14,1326,8,3,11,4,4,4,1
Yaser Asprilla,COL,"FW,MF",Girona,es_la_liga,17,9,873,2,0,2,2,0,2,0
Lorenz Assignon,TOG,"DF,MF",Rennes,fr_ligue_1,23,19,1641,2,4,6,2,0,6,0
Dehmaine Assoumani,FRA,"MF,FW",Nantes,fr_ligue_1,9,0,81,0,0,0,0,0,0,0
Valentin Atangana Edoa,FRA,MF,Reims,fr_ligue_1,25,24,2047,0,0,0,0,0,6,0
Arthur Atta,FRA,"MF,FW",Udinese,it_serie_a,18,3,517,0,1,1,0,0,2,0
Noah Atubolu,GER,GK,Freiburg,de_bundesliga,22,22,1980,0,0,0,0,0,2,0
Emil Audero,ITA,GK,Como,it_serie_a,8,8,720,0,0,0,0,0,0,0
Tommaso Augello,ITA,"DF,FW",Cagliari,it_serie_a,28,21,1907,0,4,4,0,0,2,0
Carlos Augusto,BRA,"DF,FW",Inter,it_serie_a,19,7,948,2,1,3,2,0,0,0
Yann Aurel Bisseck,GER,DF,Inter,it_serie_a,17,11,1069,1,2,3,1,0,3,0
Brandon Austin,ENG,GK,Tottenham,eng_premier_league,1,1,90,0,0,0,0,0,0,0
Ezequiel Ávila,ARG,FW,Betis,es_la_liga,18,6,632,2,0,2,2,0,5,1
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,eng_premier_league,21,2,267,1,0,1,1,0,0,0
Yasin Ayari,SWE,MF,Brighton,eng_premier_league,24,16,1427,0,1,1,0,0,3,0
Florian Ayé,FRA,FW,Auxerre,fr_ligue_1,17,4,403,0,0,0,0,0,0,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
André Ayew,GHA,FW,Le Havre,fr_ligue_1,18,10,997,4,1,5,4,0,2,0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,eng_premier_league,1,0,21,0,0,0,0,0,1,0
Jordan Ayew,GHA,"FW,MF",Leicester City,eng_premier_league,23,15,1298,4,0,4,3,1,5,0
Neil El Aynaoui,FRA,MF,Lens,fr_ligue_1,16,9,907,4,0,4,2,2,2,0
Ayman Azhil,MAR,MF,Dortmund,de_bundesliga,1,0,24,0,0,0,0,0,1,0
Adam Aznou,MAR,"DF,MF",Valladolid,es_la_liga,4,3,238,0,0,0,0,0,1,0
Adam Aznou,MAR,DF,Bayern Munich,de_bundesliga,2,0,17,0,0,0,0,0,0,0
César Azpilicueta,ESP,DF,Atlético Madrid,es_la_liga,8,7,570,0,0,0,0,0,0,0
Paulo Azzi,BRA,DF,Cagliari,it_serie_a,6,5,426,0,0,0,0,0,2,0
Oussama El Azzouzi,MAR,MF,Bologna,it_serie_a,1,0,8,0,0,0,0,0,0,0
Papa Ba,ESP,MF,Girona,es_la_liga,1,0,48,0,0,0,0,0,0,0
Shavy Babicka,GAB,"MF,FW",Toulouse,fr_ligue_1,24,9,971,4,2,6,4,0,1,0
Jacopo Bacci,ITA,MF,Empoli,it_serie_a,2,0,11,0,0,0,0,0,0,0
Aliou Badara Baldé,GUI,"MF,FW",Bochum,de_bundesliga,5,0,91,0,0,0,0,0,1,0
Loïc Bade,FRA,DF,Sevilla,es_la_liga,22,21,1911,1,1,2,1,0,5,0
Milan Badelj,CRO,MF,Genoa,it_serie_a,21,19,1345,1,0,1,1,0,2,0
Benoît Badiashile,FRA,DF,Chelsea,eng_premier_league,4,2,249,0,0,0,0,0,0,0
Alex Baena,ESP,"MF,FW",Villarreal,es_la_liga,24,23,1997,6,7,13,6,0,8,0
Juma Bah,SLE,DF,Valladolid,es_la_liga,12,10,864,0,0,0,0,0,1,0
Juma Bah,SLE,DF,Lens,fr_ligue_1,3,1,107,0,0,0,0,0,1,0
Leon Bailey,JAM,"FW,MF",Aston Villa,eng_premier_league,23,14,1138,1,2,3,1,0,3,0
Eric Bailly,CIV,DF,Villarreal,es_la_liga,10,7,580,0,0,0,0,0,2,0
Theo Bair,CAN,FW,Auxerre,fr_ligue_1,22,8,720,2,1,3,2,0,1,0
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,es_la_liga,6,4,408,1,0,1,1,0,1,0
Cédric Bakambu,COD,FW,Betis,es_la_liga,17,5,530,1,2,3,1,0,4,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Mitchel Bakker,NED,MF,Atalanta,it_serie_a,1,0,22,0,0,0,0,0,0,0
Mitchel Bakker,NED,"DF,FW",Lille,fr_ligue_1,17,9,768,2,2,4,2,0,2,1
Darryl Bakola,FRA,DF,Marseille,fr_ligue_1,1,0,12,0,0,0,0,0,1,0
Ridle Baku,GER,"FW,MF",Wolfsburg,de_bundesliga,15,14,1170,2,1,3,2,0,2,0
Ridle Baku,GER,"DF,MF",RB Leipzig,de_bundesliga,10,8,713,0,0,0,0,0,0,0
Dilane Bakwa,FRA,"MF,DF",Strasbourg,fr_ligue_1,22,21,1829,3,7,10,3,0,3,0
Tommaso Baldanzi,ITA,"MF,FW",Roma,it_serie_a,21,3,602,1,1,2,1,0,1,0
Alejandro Balde,ESP,DF,Barcelona,es_la_liga,23,21,1789,0,3,3,0,0,1,0
Keita Baldé,SEN,"FW,MF",Monza,it_serie_a,4,2,186,1,0,1,1,0,0,0
Carlos Baleba,CMR,MF,Brighton,eng_premier_league,24,22,1862,2,1,3,2,0,7,1
Leonardo Balerdi,ARG,DF,Marseille,fr_ligue_1,21,21,1804,0,0,0,0,0,8,1
Iván Balliu,ALB,DF,Rayo Vallecano,es_la_liga,19,7,785,0,0,0,0,0,2,0
Fodé Ballo-Touré,SEN,DF,Le Havre,fr_ligue_1,4,4,206,0,0,0,0,0,0,0
Botond Balogh,HUN,DF,Parma,it_serie_a,23,21,1778,0,1,1,0,0,4,0
Folarin Balogun,USA,FW,Monaco,fr_ligue_1,7,6,469,3,0,3,3,0,0,0
Mario Balotelli,ITA,"FW,MF",Genoa,it_serie_a,6,0,62,0,0,0,0,0,2,0
Abdoulaye Bamba,CIV,DF,Angers,fr_ligue_1,13,10,970,0,0,0,0,0,2,0
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,es_la_liga,12,10,811,0,1,1,0,0,1,0
Mohamed Bamba,CIV,MF,Reims,fr_ligue_1,2,0,10,0,0,0,0,0,0,0
Samuel Bamba,GER,"FW,DF",Bochum,de_bundesliga,4,0,14,0,0,0,0,0,0,0
Lameck Banda,ZAM,"FW,MF",Lecce,it_serie_a,11,6,509,0,1,1,0,0,1,0
Daniel Bandeira,POR,MF,Hellas Verona,it_serie_a,11,4,407,0,0,0,0,0,1,0
Mattia Bani,ITA,DF,Genoa,it_serie_a,17,17,1333,0,0,0,0,0,3,0
Noahkai Banks,USA,DF,Augsburg,de_bundesliga,7,2,274,0,0,0,0,0,2,0
Scott Banks,SCO,"FW,MF",St. Pauli,de_bundesliga,11,0,101,0,0,0,0,0,1,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Adrian Baquerin,ESP,FW,Valladolid,es_la_liga,1,0,3,0,0,0,0,0,0,0
Antonín Barák,CZE,MF,Fiorentina,it_serie_a,1,1,54,0,0,0,0,0,0,0
Federico Barba,ITA,DF,Como,it_serie_a,7,5,431,0,0,0,0,0,0,0
Valentín Barco,ARG,"DF,FW",Sevilla,es_la_liga,7,3,288,0,0,0,0,0,0,0
